AirportId,Iata,Latitude,Longitude,Timezone
11684,FKL,41.3775,-79.86055556,America/New_York
11686,FL1,28.22666667,-82.15555556,America/New_York
11687,FL2,27.96083333,-80.55833333,America/New_York
11688,FL3,30.78,-85.59805556,America/Chicago
11689,FL4,29.46527778,-81.20777778,America/New_York
11690,FL5,29.35472222,-82.47055556,America/New_York
11693,FLD,43.77111111,-88.48833333,America/Chicago
11695,FLG,35.14027778,-111.66916667,America/Phoenix
11696,FLJ,60.51666667,-148.0,America/Anchorage
11697,FLL,26.07138889,-80.14944444,America/New_York
11699,FLO,34.18611111,-79.72444444,America/New_York
11702,FLT,62.45277778,-157.98666667,America/Anchorage
11703,FLU,40.77916667,-73.83277778,America/New_York
11704,FLV,39.36833333,-94.91472222,America/Chicago
11706,FLX,39.49916667,-118.74888889,America/Los_Angeles
11708,FMC,65.92694444,-149.84,America/Anchorage
11709,FMH,41.65916667,-70.52277778,America/New_York
11711,FMN,36.74138889,-108.23111111,America/Denver
11713,FMS,40.65916667,-91.32777778,America/Chicago
11714,FMY,26.58666667,-81.86333333,America/New_York
11719,FNL,40.45194444,-105.01138889,America/Denver
11720,FNR,58.25,-134.9,America/Juneau
11721,FNT,42.96555556,-83.74472222,America/Detroit
11723,FOB,39.47444444,-123.79555556,America/Los_Angeles
11725,FOD,42.5525,-94.19138889,America/Chicago
11726,FOE,38.95083333,-95.66361111,America/Chicago
11728,FOK,40.84361111,-72.63194444,America/New_York
11732,FPR,27.49777778,-80.37361111,America/New_York
11733,FPY,30.07083333,-83.58166667,America/New_York
11734,FQA,55.60611111,-131.48333333,America/Sitka
11735,FQB,33.23972222,-119.45833333,America/Los_Angeles
11736,FQC,57.80555556,-152.38055556,America/Anchorage
11737,FQD,58.235,-155.10361111,America/Anchorage
11738,FQE,58.31333333,-134.10416667,America/Juneau
11739,FQF,58.35277778,-133.99138889,America/Juneau
11740,FQG,58.13444444,-133.72944444,America/Juneau
11741,FQH,61.16833333,-150.16055556,America/Anchorage
11742,FQI,38.23444444,-84.43472222,America/New_York
11743,FQJ,58.09861111,-134.76,America/Juneau
11744,FQK,58.21472222,-136.15638889,America/Juneau
11745,FQL,38.665,-88.45305556,America/Chicago
11747,FQN,55.56222222,-132.63055556,America/Sitka
11748,FQO,55.56666667,-131.05638889,America/Sitka
11749,FQP,55.83444444,-131.48472222,America/Sitka
11750,FQQ,59.14666667,-138.56361111,America/Yakutat
11751,FQR,55.24361111,-132.57333333,America/Sitka
11754,FQU,48.28388889,-115.49027778,America/Denver
11755,FQV,53.81444444,-167.11944444,America/Nome
11756,FQW,53.36666667,-167.88333333,America/Nome
11757,FQX,55.21027778,-132.13194444,America/Sitka
11758,FQY,55.92638889,-133.25277778,America/Sitka
11762,FRD,48.52194444,-123.02444444,America/Los_Angeles
11764,FRG,40.72972222,-73.41444444,America/New_York
11766,FRM,43.64388889,-94.41555556,America/Chicago
11768,FRP,57.85,-134.98333333,America/Juneau
11769,FRR,38.9175,-78.25333333,America/New_York
11773,FRY,43.99111111,-70.94777778,America/New_York
11775,FSD,43.58083333,-96.74166667,America/Chicago
11776,FSI,34.64972222,-98.40222222,America/Chicago
11777,FSK,37.79833333,-94.76944444,America/Chicago
11778,FSM,35.33527778,-94.36777778,America/Chicago
11780,FST,30.91527778,-102.91277778,America/Chicago
11782,FTC,40.58722222,-105.04027778,America/Denver
11784,FTG,39.78416667,-104.5375,America/Denver
11785,FTK,37.90722222,-85.97166667,America/New_York
11786,FTL,61.86833333,-162.06805556,America/Nome
11789,FTW,32.81972222,-97.36305556,America/Chicago
11790,FTY,33.77916667,-84.5275,America/New_York
11794,FUL,33.87194444,-117.97972222,America/Los_Angeles
11797,FVA,61.11638889,-155.31138889,America/Anchorage
11800,FVD,30.58555556,-100.64861111,America/Chicago
11801,FVE,33.35472222,-117.25027778,America/Los_Angeles
11803,FVG,33.97055556,-112.795,America/Phoenix
11804,FVH,46.79416667,-119.08,America/Los_Angeles
11805,FVI,32.82583333,-91.18777778,America/Chicago
11810,FVN,48.15361111,-104.50416667,America/Denver
11811,FVO,45.24722222,-122.77,America/Los_Angeles
11812,FVP,39.94388889,-120.94527778,America/Los_Angeles
11813,FVQ,62.07194444,-158.20416667,America/Anchorage
11814,FVR,45.87861111,-111.56916667,America/Denver
11815,FVS,43.83388889,-111.805,America/Boise
11818,FVV,35.72833333,-118.41972222,America/Los_Angeles
11819,FVW,65.28333333,-153.0,America/Anchorage
11820,FVX,54.91666667,-132.91666667,America/Sitka
11821,FVY,56.08333333,-131.96666667,America/Sitka
11822,FVZ,70.00388889,-153.0775,America/Anchorage
11823,FWA,40.97833333,-85.19527778,America/Indiana/Indianapolis
11824,FWH,32.76916667,-97.44166667,America/Chicago
11825,FWL,62.50916667,-153.89055556,America/Anchorage
11826,FWS,32.565,-97.30833333,America/Chicago
11827,FXE,26.19833333,-80.17305556,America/New_York
11828,A35,70.17111111,-146.84416667,America/Anchorage
11830,FXR,40.27333333,-86.56222222,America/Indiana/Indianapolis
11831,FXY,43.23472222,-93.62416667,America/Chicago
11833,FYU,66.5725,-145.24638889,America/Anchorage
11834,FYV,36.005,-94.17,America/Chicago
11836,GA1,34.68805556,-85.29055556,America/New_York
11837,GA2,33.63166667,-85.15222222,America/New_York
11838,GA3,33.31166667,-84.76972222,America/New_York
11840,GAD,33.97027778,-86.09138889,America/Chicago
11842,GAI,39.16833333,-77.16611111,America/New_York
11844,GAL,64.73611111,-156.93444444,America/Anchorage
11845,GAM,63.76666667,-171.73277778,America/Nome
11855,GBA,61.395,-149.84166667,America/Anchorage
11856,GBD,38.34416667,-98.85916667,America/Chicago
11858,GBG,40.93805556,-90.43111111,America/Chicago
11859,GBH,68.47972222,-149.49,America/Anchorage
11862,GBR,42.18416667,-73.40333333,America/New_York
11865,GCC,44.34722222,-105.54138889,America/Denver
11867,GCK,37.9225,-100.72305556,America/Chicago
11869,GCN,35.95222222,-112.14694444,America/Phoenix
11870,GCY,36.19138889,-82.81666667,America/New_York
11871,GDC,34.75833333,-82.37638889,America/New_York
11873,GDH,59.74694444,-158.87472222,America/Anchorage
11875,GDM,42.55,-72.01611111,America/New_York
11879,GDV,47.13861111,-104.80722222,America/Denver
11880,GDW,43.97055556,-84.475,America/Detroit
11883,GED,38.6875,-75.35944444,America/New_York
11884,GEG,47.61916667,-117.53527778,America/Los_Angeles
11885,GEK,62.97555556,-156.51333333,America/Anchorage
11893,GEY,44.51805556,-108.08305556,America/Denver
11894,GEZ,39.58305556,-85.80472222,America/Indiana/Indianapolis
11895,GFA,47.50583333,-111.18472222,America/Denver
11896,GFB,59.05,-160.28333333,America/Anchorage
11898,GFK,47.94638889,-97.17305556,America/Chicago
11899,GFL,43.34111111,-73.61027778,America/New_York
11904,GGE,33.31138889,-79.32027778,America/New_York
11905,GGG,32.38972222,-94.71666667,America/Chicago
11908,GGW,48.21277778,-106.61638889,America/Denver
11921,GJT,39.11861111,-108.51444444,America/Denver
11924,GKN,62.155,-145.45444444,America/Anchorage
11929,GLD,39.37083333,-101.69861111,America/Denver
11931,GLH,33.48527778,-90.98472222,America/Chicago
11937,GLQ,62.11861111,-145.55,America/Anchorage
11938,GLR,45.01444444,-84.70222222,America/Detroit
11939,GLS,29.26277778,-94.85916667,America/Chicago
11941,GLV,64.55055556,-163.00722222,America/Nome
11942,GLW,37.03166667,-85.95388889,America/Chicago
11946,GMT,65.40222222,-161.28138889,America/Anchorage
11947,GMU,34.84777778,-82.34833333,America/New_York
11952,GNU,59.11777778,-161.57361111,America/Anchorage
11953,GNV,29.69083333,-82.27277778,America/New_York
11959,GOL,42.41527778,-124.425,America/Los_Angeles
11961,GON,41.3275,-72.04583333,America/New_York
11971,GPM,32.69888889,-97.04694444,America/Chicago
11973,GPT,30.40111111,-89.06611111,America/Chicago
11974,GPZ,47.20916667,-93.51,America/Chicago
11975,GQQ,40.73611111,-82.75277778,America/New_York
11977,GRB,44.48472222,-88.12972222,America/Chicago
11978,GRD,34.25027778,-82.15777778,America/New_York
11979,GRF,47.07916667,-122.58083333,America/Los_Angeles
11980,GRI,40.98055556,-98.31472222,America/Chicago
11982,GRK,31.06722222,-97.82888889,America/Chicago
11986,GRR,42.88194444,-85.52388889,America/Detroit
11992,GSB,35.33944444,-77.96055556,America/New_York
11994,GSH,41.52611111,-85.79416667,America/Indiana/Indianapolis
11995,GSO,36.10138889,-79.94111111,America/New_York
11996,GSP,34.89555556,-82.21888889,America/New_York
11997,GST,58.42527778,-135.7075,America/Juneau
11999,GSW,32.8275,-97.04527778,America/Chicago
12003,GTF,47.47666667,-111.37305556,America/Denver
12007,GTR,33.44833333,-88.59138889,America/Chicago
12008,GTU,30.67888889,-97.67944444,America/Chicago
12012,GUC,38.53611111,-106.92944444,America/Denver
12016,GUM,13.48388889,144.79722222,Pacific/Guam
